City Name,City Number
Marawi,1701054
Jamestown,2069194
Rikitea,4030556
Flinders,6255012
Yellowknife,6185377
Aguadulce,3715042
Lavrentiya,4031637
Hithadhoo,1282256
Tuktoyaktuk,6170031
Rawson,3839307
Kenora,5991056
Egvekinot,4031742
Yevlax,585514
Karad,1267904
Srednekolymsk,2121025
Hermanus,3366880
Puerto Ayora,3652764
Kungurtug,1501377
Ndjole,2397674
Frutal,3462916
Dikson,1507390
Ancud,3899695
Castro,3896218
Kaitangata,2208248
Benguela,3351663
Mahebourg,934322
Constitucion,4011743
Nanortalik,3421765
Chimoio,1049261
Mananjary,1056151
Busselton,2075265
Vaini,1273574
Qaanaaq,3831208
Fortuna,5563839
Mataura,6201424
Barrow,3833859
Byron Bay,2172880
Meybod,124193
Kyren,2021031
Evensk,2125693
Sao Joao da Ponte,3448892
Carnarvon,1014034
Hobart,2163355
Punta Arenas,3874787
Katangli,2122783
Conde,3465713
Goure,2444219
Lompoc,5367788
Ushuaia,3833367
Bluff,2175403
Albany,5106834
Banting,1734781
Saldanha,2737599
Panambi,3455281
Nambucca Heads,2155858
Talnakh,1490256
Touros,3386213
Qinhuangdao,1797595
Aquiraz,3407407
Isiro,215771
Emerald,2167426
Coquimbo,3893629
Kodiak,4407665
Butaritari,2110227
Arraial do Cabo,3471451
Port-Gentil,2396518
Clyde River,5924351
Faanui,4034551
Sinazongwe,897456
Kahului,5847411
Kiunga,2093846
Koping,2699791
Atuona,4020109
Sitka,4267710
Maceo,3675768
San Juan de los Lagos,3985865
Hailar,2037078
Chekhov,569591
Tasiilaq,3424607
Carutapera,3402648
Cherskiy,2126199
Daru,2098329
Saint-Philippe,6138908
Providencia,3666582
Ponta do Sol,3453439
Kapaa,5848280
Chuy,3443061
Maceio,3395981
Cape Town,3369157
Lamar,5427957
Pevek,2122090
Airai,1651810
Avarua,4035715
Lorengau,2092164
Sao Gabriel da Cachoeira,3662342
Saskylakh,2017155
Nobres,3456277
Kosh-Agach,1502422
Avera,4231997
Jalu,86049
Kindersley,5992154
La Rioja,3848950
Provideniya,4031574
Whitianga,2179103
Tahoua,2439376
Cabo San Lucas,3985710
Cukai,1732945
Xiamen,1790645
Te Anau,2181625
Enshi,1811720
Yar-Sale,1486321
Chaman,1181611
New Norfolk,2155415
Sarny,694792
Tiksi,2015306
Nikolskoye,546105
Ixtapa,4004293
Port Blair,1259385
Wangou,2034226
Kichera,2022129
Stephenville,6156244
Fairbanks,5861897
Valparaiso,4927537
Catuday,1717787
Nuuk,3421319
Svetlogorsk,584051
Lubango,3347762
Port Elizabeth,4501427
Cockburn Town,3576994
Imbituba,3461370
Mehamn,778707
Moose Factory,6078372
San Patricio,3437029
Burnie,2173125
Palmer,2067070
Hambantota,1244926
Keuruu,652977
Hilo,5855927
Vila Franca do Campo,3372472
Havre-Saint-Pierre,5972291
Tecoanapa,3532499
Clarence Town,2171465
Rocha,3440777
Bredasdorp,1015776
Bahia Blanca,3865086
Bambous Virieux,1106677
Khatanga,2022572
Tomatlan,3981391
Kurchum,1521762
Henties Bay,3356832
Port Macquarie,2152659
Itaituba,3397967
Matinhos,3457455
Hualmay,3939761
Saint-Augustin,6138501
Port Alfred,964432
Sao Joao da Barra,3448903
Tessalit,2449893
Namatanai,2090021
East London,1006984
Margate,2158744
Barcelos,3665098
Koungheul,2249554
Sola,151211
Haines Junction,5969025
Lebu,344979
Sibu,1735902
Hirara,1862505
Cravo Norte,3685702
Camacupa,3351014
Ilulissat,3423146
Sandwick,2640416
Yulara,6355222
Canmore,5914894
Oksfjord,778362
Salalah,286621
Severo-Kurilsk,2121385
Kuchera,1265821
Souillac,3026644
Jardim,3460087
Antalaha,1071296
Neyshabur,122285
Komsomolskiy,1486910
Vientiane,1651944
Zelenoborsk,1485286
Thap Khlo,1605538
Georgetown,3378644
Ismailia,361055
Kobelyaky,705544
Jamuria,1269280
Rokytne,695516
Hailin,2037075
Sungaipenuh,1625929
Skibbereen,2961459
Khor,2022317
Nome,4732862
Port Hawkesbury,6111867
Hasaki,2112802
Vao,588365
Hulyaypole,707898
Biak,1637001
Kazachinskoye,1504075
Dakar,2253354
Yingcheng,1786640
Puerto Escondido,3520994
Prieska,964090
Camacha,2270385
San Cristobal,3609418
Poum,787487
Yabrud,162627
Manzhouli,2035836
Kant,1528193
Borujerd,140044
Kisangani,212730
Ukiah,5404476
Tura,2014833
Mar del Plata,3863379
Pulawy,760924
Whitehorse,6180550
San Luis,3837056
Nouakchott,2377450
Atar,2381334
Carleton Place,5917158
Victoria Point,2145214
Kingisepp,548602
Shingu,1847947
Myitkyina,1307741
Ribeira Grande,3372707
Hofn,2630299
Los Llanos de Aridane,2514651
Sambava,1056899
Fershampenuaz,562878
Lazaro Cardenas,3996234
Broken Hill,2173911
Ballarat,2177091
Timra,2669047
Nemuro,2128975
Maniwaki,6065262
Demirci,317241
Nantucket,4944903
Saint-Joseph,3037456
Tatarsk,1490003
Kuhdasht,126409
Port Lincoln,2063036
Viterbo,6540107
Kaduqli,373141
Warrington,2634739
Beringovskiy,2126710
Marina,6184594
Bathsheba,3374083
Pisco,3932145
Nagato,1899102
Kimbe,2093967
Torbay,6167817
Norman Wells,6089245
Umm Kaddadah,364933
Nioro,2413070
Kitgum,230893
Padang,1633419
Havelock,4470244
Turukhansk,1488903
Cidreira,3466165
Caravelas,3466980
Jadu,2216432
Georgiyevka,565857
Tuatapere,2180815
Emirdag,315621
Laguna,3581398
Ambovombe,1079048
Zenzeli,463655
Aztec,5456049
Matadi,2313002
San Pedro,3428576
Iskateley,866062
Awjilah,88533
Rovaniemi,638936
Dingle,1714733
Mangalore,1263780
Sept-Iles,6144312
Narsaq,3421719
Bethel,5880568
Nizhniy Kuranakh,2019135
Mackay,5921525
Damietta,358048
Pacific Grove,5380437
Kavieng,2094342
Victoria,1733782
Hrodna,627904
Coihaique,3894426
Sokoni,901344
Kloulklubed,7671223
Hoa Binh,1580830
Grand Gaube,934479
Dno,565885
Tutoia,3385899
Vardo,4372777
Rapid Valley,5768244
Mercedes,3441684
Tarandacuao,3982401
Bobrovka,509987
Kutum,371745
Huarmey,3939168
Shestakovo,2016733
Verkhoyansk,2013465
Chokurdakh,2126123
Altamira,3407882
Kruisfontein,986717
Tacuarembo,3440034
Lichinga,1043893
Yinchuan,1786657
Mungaa,152546
Shellbrook,6145951
Saint George,262462
Bay Roberts,5895424
Alyangula,2079582
Russell,4278471
Aklavik,5882953
Mandiana,2417795
Ekhabi,2122614
Jinka,333750
Leiyang,1804208
Sayyan,70979
Osek,3068857
Grindavik,3416888
Chagoda,570086
Tynda,2014718
Nishihara,1850144
San Policarpo,1688696
Thompson,6165406
Artesia,5455796
Esperance,2071860
Beloha,1067565
Codrington,2160063
Yeppoon,2142316
Kavaratti,1267390
Rio Grande,3451138
Rhyl,2639409
Poltavka,1494500
Alta Floresta,6316343
Quillota,3874119
Yakeshi,2033536
Kaeo,2189343
Gemena,2315728
